row_number,rule_name,severity,issue_type,event_id,session_id
0,Duplicate event_id,HIGH,Duplicate record,a3a65b03-93ce-414f-a817-ac9e9f4cebe2,2f0b1436-8697-41f1-a288-c0d8fcb512e6
3,Duplicate event_id,HIGH,Duplicate record,b97aa32c-f4d7-4e13-adaf-4fe2919d9f6a,7d75f6da-c30a-47cc-8cf6-abf4ff329b57
24,Duplicate event_id,HIGH,Duplicate record,b97aa32c-f4d7-4e13-adaf-4fe2919d9f6a,7d75f6da-c30a-47cc-8cf6-abf4ff329b57
29,Duplicate event_id,HIGH,Duplicate record,856e356e-84d1-4c2e-a7f9-af6ce2264338,1f2eae4b-d609-4d6d-aca7-1ac11f814278
51,Duplicate event_id,HIGH,Duplicate record,e831fae4-51a0-469e-a7c6-23e3d929ca75,11deaa9c-7892-4cc5-9483-7f2f02ccc096
54,Duplicate event_id,HIGH,Duplicate record,a88b4dd2-f907-4092-a138-48bce501e919,d43cd6fe-dfe5-4cb7-893d-4ad9c29d21d0
57,Duplicate event_id,HIGH,Duplicate record,eb106a8d-34fe-4139-83ac-f3ab430442a5,8cd896f5-5264-4cb6-b582-5253cf38aa11
77,Duplicate event_id,HIGH,Duplicate record,ecd053f8-11ec-4490-9f01-2e4200ca5757,c2b37eab-a4aa-459b-8f1c-04d149b09b53
80,Duplicate event_id,HIGH,Duplicate record,af15aca1-26b5-4b20-9ec2-9e64b31819d2,5528028b-7057-4a40-ba50-e829a6fd9b90
94,Duplicate event_id,HIGH,Duplicate record,2d49445e-007c-426e-b0d9-02e642b99db4,55cd83ba-289c-4e8f-9f75-cab51439b2a1
104,Duplicate event_id,HIGH,Duplicate record,fd965b5a-d13e-412a-a43f-4f2a54618061,f04c40b3-270c-4290-9ceb-c86b1dc3e691
106,Duplicate event_id,HIGH,Duplicate record,75a79105-165d-42db-ae0a-5b775f3edff1,95091c69-e513-4f8f-a9e0-55f9d6a09751
112,Duplicate event_id,HIGH,Duplicate record,a3a65b03-93ce-414f-a817-ac9e9f4cebe2,2f0b1436-8697-41f1-a288-c0d8fcb512e6
129,Duplicate event_id,HIGH,Duplicate record,a679dd73-1783-40c0-9e87-3d7800a9c461,5adc8db7-a721-45bd-bfc6-bd0dc5696671
137,Duplicate event_id,HIGH,Duplicate record,a486e184-ee59-4783-8cb3-b07e40a51ba8,dee9578c-89ba-46ed-912f-bd163ebf9dae
144,Duplicate event_id,HIGH,Duplicate record,e5fc718c-c383-4ea7-a7cb-f53285603ce7,4503bcf5-11d4-4534-b7a2-841c89fc84fd
145,Duplicate event_id,HIGH,Duplicate record,c3dc0e3e-f197-4cf1-87a6-229f4e956526,7d19ef1c-a02f-4088-8edc-24341a46e604
147,Duplicate event_id,HIGH,Duplicate record,d9e8b4ab-6dbf-4fa3-b94f-9732f8ebaa46,dd6868a5-a36f-446a-bc9d-6645756b9dae
186,Duplicate event_id,HIGH,Duplicate record,9aa9657a-1ae6-462b-9039-aadffbab36b7,47f50bcc-8964-4a33-8e25-e32b94dc2272
201,Duplicate event_id,HIGH,Duplicate record,a486e184-ee59-4783-8cb3-b07e40a51ba8,dee9578c-89ba-46ed-912f-bd163ebf9dae
206,Duplicate event_id,HIGH,Duplicate record,20cd648a-ebb4-4873-a7f4-065880b7e5bd,02aa29e0-973d-451b-9a72-69906cd9fdc8
210,Duplicate event_id,HIGH,Duplicate record,ce652389-ffa4-46cd-987a-435549b3e049,661002c1-24b7-4829-a370-b0e240a0d546
234,Duplicate event_id,HIGH,Duplicate record,04b5f8f8-b43f-49e4-8a48-29ac9ed4f5be,82ef415a-b913-47eb-96ec-1af2f8cecd34
242,Duplicate event_id,HIGH,Duplicate record,2d49445e-007c-426e-b0d9-02e642b99db4,55cd83ba-289c-4e8f-9f75-cab51439b2a1
249,Duplicate event_id,HIGH,Duplicate record,a7b49e35-135b-4320-8aad-b0caa5880ebc,ede341ea-d3e6-491a-ab22-e42bbdce7459
256,Duplicate event_id,HIGH,Duplicate record,9dc1cbaa-6fab-42f2-beae-d02f5a9ca485,1f518004-d4db-4846-9cd3-771aab7c1906
264,Duplicate event_id,HIGH,Duplicate record,ce652389-ffa4-46cd-987a-435549b3e049,661002c1-24b7-4829-a370-b0e240a0d546
283,Duplicate event_id,HIGH,Duplicate record,e5fc718c-c383-4ea7-a7cb-f53285603ce7,4503bcf5-11d4-4534-b7a2-841c89fc84fd
292,Duplicate event_id,HIGH,Duplicate record,ecd053f8-11ec-4490-9f01-2e4200ca5757,c2b37eab-a4aa-459b-8f1c-04d149b09b53
317,Duplicate event_id,HIGH,Duplicate record,64af17db-5957-424b-ab96-6d0efbc56cd4,34eee7ac-3ae8-4daf-8138-dc1caa32f062
325,Duplicate event_id,HIGH,Duplicate record,75a79105-165d-42db-ae0a-5b775f3edff1,95091c69-e513-4f8f-a9e0-55f9d6a09751
326,Duplicate event_id,HIGH,Duplicate record,1a703587-afc5-4c74-b303-07d0b90904e1,10546214-6854-47d9-87b4-ef68f196ff5e
331,Duplicate event_id,HIGH,Duplicate record,a7b49e35-135b-4320-8aad-b0caa5880ebc,ede341ea-d3e6-491a-ab22-e42bbdce7459
334,Duplicate event_id,HIGH,Duplicate record,265602eb-adc8-4aae-8ccf-c107f349daa9,568977d1-d3ba-41d8-9a43-c24c542ff3b3
340,Duplicate event_id,HIGH,Duplicate record,64af17db-5957-424b-ab96-6d0efbc56cd4,34eee7ac-3ae8-4daf-8138-dc1caa32f062
353,Duplicate event_id,HIGH,Duplicate record,e6724f4e-0146-485f-81f3-ec4a21bc7e5e,7acb7b04-f20d-4585-90e5-de8ef3a72b0b
365,Duplicate event_id,HIGH,Duplicate record,217c7e61-12b1-4a7e-9344-d10b9bb48990,4b6b32a6-0dc4-4cbf-9f49-6ce712a1b8f5
371,Duplicate event_id,HIGH,Duplicate record,04b5f8f8-b43f-49e4-8a48-29ac9ed4f5be,82ef415a-b913-47eb-96ec-1af2f8cecd34
